name_of_project,title_of_press_release,telegram_1,telegram_1_name,telegram_1_is_group,tg admin 1 name,tg admin 1 username,tg admin 1 contact url,tg admin 1 status,tg admin 2 name,tg admin 2 username,tg admin 2 contact url,tg admin 2 status,tg admin 3 name,tg admin 3 username,tg admin 3 contact url,tg admin 3 status,tg admin 4 name,tg admin 4 username,tg admin 4 contact url,tg admin 4 status,tg admin 5 name,tg admin 5 username,tg admin 5 contact url,tg admin 5 status,tg admin 6 name,tg admin 6 username,tg admin 6 contact url,tg admin 6 status,tg admin 7 name,tg admin 7 username,tg admin 7 contact url,tg admin 7 status,tg admin 8 name,tg admin 8 username,tg admin 8 contact url,tg admin 8 status,tg admin 9 name,tg admin 9 username,tg admin 9 contact url,tg admin 9 status,tg admin 10 name,tg admin 10 username,tg admin 10 contact url,tg admin 10 status,tg admin 11 name,tg admin 11 username,tg admin 11 contact url,tg admin 11 status,tg admin 12 name,tg admin 12 username,tg admin 12 contact url,tg admin 12 status,tg admin 13 name,tg admin 13 username,tg admin 13 contact url,tg admin 13 status,tg admin 14 name,tg admin 14 username,tg admin 14 contact url,tg admin 14 status,tg admin 15 name,tg admin 15 username,tg admin 15 contact url,tg admin 15 status,tg admin 16 name,tg admin 16 username,tg admin 16 contact url,tg admin 16 status,tg admin 17 name,tg admin 17 username,tg admin 17 contact url,tg admin 17 status,tg admin 18 name,tg admin 18 username,tg admin 18 contact url,tg admin 18 status,tg admin 19 name,tg admin 19 username,tg admin 19 contact url,tg admin 19 status,tg admin 20 name,tg admin 20 username,tg admin 20 contact url,tg admin 20 status,tg admin 21 name,tg admin 21 username,tg admin 21 contact url,tg admin 21 status,tg admin 22 name,tg admin 22 username,tg admin 22 contact url,tg admin 22 status,tg admin 23 name,tg admin 23 username,tg admin 23 contact url,tg admin 23 status,tg admin 24 name,tg admin 24 username,tg admin 24 contact url,tg admin 24 status,tg admin 25 name,tg admin 25 username,tg admin 25 contact url,tg admin 25 status,tg admin 26 name,tg admin 26 username,tg admin 26 contact url,tg admin 26 status,tg admin 27 name,tg admin 27 username,tg admin 27 contact url,tg admin 27 status,tg admin 28 name,tg admin 28 username,tg admin 28 contact url,tg admin 28 status,tg admin 29 name,tg admin 29 username,tg admin 29 contact url,tg admin 29 status
CoinTelegraph,Occam.fi and Bondly bring next-gen DeFi & NFT capabilities to Cardano,https://t.me/bondlyfinance,Bondly Finance Official,True,RHEEㅣBondLy,rheeunion_BondLy,https://t.me/rheeunion_BondLy,UserStatusRecently(),Ash Bondly,aashbondly,https://t.me/aashbondly,UserStatusRecently(),Maxi | BondLy,MaxiBondly,https://t.me/MaxiBondly,UserStatusRecently(),PeteSherpa | Bondly (No giveaways / scammers around ),PeteSherpa,https://t.me/PeteSherpa,UserStatusRecently(),D3V3LIN| BondLy,D3V3LIN_BondLy,https://t.me/D3V3LIN_BondLy,UserStatusRecently(),Brandon | BondLy,Brandon_BondLy,https://t.me/Brandon_BondLy,UserStatusRecently(),Harry | Bondly,harry_bondly,https://t.me/harry_bondly,UserStatusRecently(),Steven | Bondly,steven_bondly,https://t.me/steven_bondly,UserStatusRecently(),Megan | Bondly,meganzliu,https://t.me/meganzliu,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,Occam.fi and Bondly bring next-gen DeFi & NFT capabilities to Cardano,https://t.me/occamfi_com,OccamFi Community Group,True,Leander| OccamFi 🇪🇦| I'll never DM you first,leander_occ,https://t.me/leander_occ,UserStatusRecently(),Kornel | OccamFi 🇵🇱 | I'll never PM you first,cornlg_occ,https://t.me/cornlg_occ,UserStatusRecently(),Thiago Nunes | OccamFi 🇧🇷| admins will never DM first,thiagonunes_occ,https://t.me/thiagonunes_occ,UserStatusRecently(),Aryan | OccamFi |🇩🇪| admins will never DM first,AryanCM,https://t.me/AryanCM,UserStatusRecently(),Ryan|OccamFi🇨🇳|admins will never DM first,ryanice1,https://t.me/ryanice1,UserStatusRecently(),Occam Quiz,occamquiz,https://t.me/occamquiz,UserStatusRecently(),Shaun | OccamFi | I will never PM first |,ShaunOCCAM,https://t.me/ShaunOCCAM,UserStatusRecently(),Steven | OccamFi | i will never pm you first,StevenOCCAM,https://t.me/StevenOCCAM,UserStatusLastMonth(),Uni | Occam.Fi | I Will Never PM You First,uniOCCAM,https://t.me/uniOCCAM,UserStatusRecently(),Gomez | OccamFi (I will never PM you first),GomezOCCAM,https://t.me/GomezOCCAM,UserStatusRecently(),Tiago S,super_duderino,https://t.me/super_duderino,UserStatusRecently(),Daniel Bose,danielbose,https://t.me/danielbose,UserStatusRecently(),Harvey (Admin - will never PM first),harveyish,https://t.me/harveyish,UserStatusRecently(),Peter | OccamFi [I'll never PM you first],PeterOccamFi,https://t.me/PeterOccamFi,UserStatusRecently(),Tatiana A. - Occam.fi,t_occamfi,https://t.me/t_occamfi,UserStatusRecently(),Nicolas | OccamFi,NicolasR94,https://t.me/NicolasR94,UserStatusRecently(),Marlene Vee,MarleneVee,https://t.me/MarleneVee,UserStatusLastWeek(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,OccamRazer to Launch deFIRE IDO - Powered by Changelly,https://t.me/occamfi_com,OccamFi Community Group,True,Leander| OccamFi 🇪🇦| I'll never DM you first,leander_occ,https://t.me/leander_occ,UserStatusRecently(),Kornel | OccamFi 🇵🇱 | I'll never PM you first,cornlg_occ,https://t.me/cornlg_occ,UserStatusRecently(),Thiago Nunes | OccamFi 🇧🇷| admins will never DM first,thiagonunes_occ,https://t.me/thiagonunes_occ,UserStatusRecently(),Aryan | OccamFi |🇩🇪| admins will never DM first,AryanCM,https://t.me/AryanCM,UserStatusRecently(),Ryan|OccamFi🇨🇳|admins will never DM first,ryanice1,https://t.me/ryanice1,UserStatusRecently(),Occam Quiz,occamquiz,https://t.me/occamquiz,UserStatusRecently(),Shaun | OccamFi | I will never PM first |,ShaunOCCAM,https://t.me/ShaunOCCAM,UserStatusRecently(),Steven | OccamFi | i will never pm you first,StevenOCCAM,https://t.me/StevenOCCAM,UserStatusLastMonth(),Uni | Occam.Fi | I Will Never PM You First,uniOCCAM,https://t.me/uniOCCAM,UserStatusRecently(),Gomez | OccamFi (I will never PM you first),GomezOCCAM,https://t.me/GomezOCCAM,UserStatusRecently(),Tiago S,super_duderino,https://t.me/super_duderino,UserStatusRecently(),Daniel Bose,danielbose,https://t.me/danielbose,UserStatusRecently(),Harvey (Admin - will never PM first),harveyish,https://t.me/harveyish,UserStatusRecently(),Peter | OccamFi [I'll never PM you first],PeterOccamFi,https://t.me/PeterOccamFi,UserStatusRecently(),Tatiana A. - Occam.fi,t_occamfi,https://t.me/t_occamfi,UserStatusRecently(),Nicolas | OccamFi,NicolasR94,https://t.me/NicolasR94,UserStatusRecently(),Marlene Vee,MarleneVee,https://t.me/MarleneVee,UserStatusLastWeek(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,Introducing the Swirge Finance Token: A fully decentralized token,https://t.me/swirgepay,Swirge | Pay,True,shaimaranbir Never gonna dm u first,srk2829,https://t.me/srk2829,UserStatusRecently(),🌿파신두 °Ⓜ️adhushanka° ®🇱🇰,pasindum,https://t.me/pasindum,UserStatusRecently(),Lexkhalifa,Lexkhalifa123,https://t.me/Lexkhalifa123,UserStatusRecently(),Navi,N4V1111,https://t.me/N4V1111,UserStatusRecently(),CryptoBuddy,CrYpTo0909,https://t.me/CrYpTo0909,UserStatusRecently(),Harmony,Harmonyelendu,https://t.me/Harmonyelendu,UserStatusRecently(),Simon Adamilo,Damicrypto,https://t.me/Damicrypto,UserStatusRecently(),Nansel Rimsah,YoungNaz,https://t.me/YoungNaz,UserStatusRecently(),Omohoro Mercy,omomery,https://t.me/omomery,UserStatusRecently(),TOCHUKWU,periccoma,https://t.me/periccoma,UserStatusRecently(),Keith Of Bitcoin,Bitcoinkeith,https://t.me/Bitcoinkeith,UserStatusRecently(),Mr Jay Crypto,MrJaycrypto,https://t.me/MrJaycrypto,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,Smartlink unveils its backers following its private sale of $500K,https://t.me/smartlinkofficial,Smartlink Official,True,François LE GALL,francoislegall,https://t.me/francoislegall,UserStatusRecently(),R.Carre | Will never DM you first,KarreRobin,https://t.me/KarreRobin,UserStatusRecently(),Smartlink T1 (ICO IS CLOSED),SmartlinkT1,https://t.me/SmartlinkT1,UserStatusRecently(),Smartlink | Will never DM you First,smartlinkteam,https://t.me/smartlinkteam,UserStatusRecently(),Prakash Pandey (Never DM You First),prakash11175,https://t.me/prakash11175,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,CV VC becomes accelerator advisor of the Occam.fi ecosystem,https://t.me/occamfi_com,OccamFi Community Group,True,Leander| OccamFi 🇪🇦| I'll never DM you first,leander_occ,https://t.me/leander_occ,UserStatusRecently(),Kornel | OccamFi 🇵🇱 | I'll never PM you first,cornlg_occ,https://t.me/cornlg_occ,UserStatusRecently(),Thiago Nunes | OccamFi 🇧🇷| admins will never DM first,thiagonunes_occ,https://t.me/thiagonunes_occ,UserStatusRecently(),Aryan | OccamFi |🇩🇪| admins will never DM first,AryanCM,https://t.me/AryanCM,UserStatusRecently(),Ryan|OccamFi🇨🇳|admins will never DM first,ryanice1,https://t.me/ryanice1,UserStatusRecently(),Occam Quiz,occamquiz,https://t.me/occamquiz,UserStatusRecently(),Shaun | OccamFi | I will never PM first |,ShaunOCCAM,https://t.me/ShaunOCCAM,UserStatusRecently(),Steven | OccamFi | i will never pm you first,StevenOCCAM,https://t.me/StevenOCCAM,UserStatusLastMonth(),Uni | Occam.Fi | I Will Never PM You First,uniOCCAM,https://t.me/uniOCCAM,UserStatusRecently(),Gomez | OccamFi (I will never PM you first),GomezOCCAM,https://t.me/GomezOCCAM,UserStatusRecently(),Tiago S,super_duderino,https://t.me/super_duderino,UserStatusRecently(),Daniel Bose,danielbose,https://t.me/danielbose,UserStatusRecently(),Harvey (Admin - will never PM first),harveyish,https://t.me/harveyish,UserStatusRecently(),Peter | OccamFi [I'll never PM you first],PeterOccamFi,https://t.me/PeterOccamFi,UserStatusRecently(),Tatiana A. - Occam.fi,t_occamfi,https://t.me/t_occamfi,UserStatusRecently(),Nicolas | OccamFi,NicolasR94,https://t.me/NicolasR94,UserStatusRecently(),Marlene Vee,MarleneVee,https://t.me/MarleneVee,UserStatusLastWeek(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,Swinate - A BSC project that links crypto with stocks and real estate,https://t.me/swinate,Swinate Official,True,Peter Zen,Peter_Zen,https://t.me/Peter_Zen,UserStatusRecently(),Christian,c3pow,https://t.me/c3pow,UserStatusRecently(),Jor Vb,jorvb123,https://t.me/jorvb123,UserStatusRecently(),Sven J,svenjur,https://t.me/svenjur,UserStatusRecently(),Salty Shrimpy,Salty_Shrimpy,https://t.me/Salty_Shrimpy,UserStatusRecently(),S,B4C0S,https://t.me/B4C0S,UserStatusRecently(),Absolut V,juannitox,https://t.me/juannitox,UserStatusRecently(),Ares,Ares_786,https://t.me/Ares_786,UserStatusRecently(),Timmy,TimmyDC,https://t.me/TimmyDC,UserStatusRecently(),loweredcurtains,loweredcurtains,https://t.me/loweredcurtains,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,Sekuritance unique approach addresses blockchain compliance challenges,https://t.me/sekuritance_SKRT,Sekuritance™ Official Community Chat,True,Chase AmaZix,chase_4D,https://t.me/chase_4D,UserStatusRecently(),Enobee AmaZix,eno_bee,https://t.me/eno_bee,UserStatusRecently(),Essa AmaZix,lourdessaBB,https://t.me/lourdessaBB,UserStatusRecently(),Ruona AmaZix,Ogheneruona,https://t.me/Ogheneruona,UserStatusRecently(),Jonny AmaZix,Canaricolor,https://t.me/Canaricolor,UserStatusRecently(),Chris AmaZix,Parbey,https://t.me/Parbey,UserStatusRecently(),Josh AmaZix,edisonbell,https://t.me/edisonbell,UserStatusRecently(),Isaac AmaZix,IsaacEssuman,https://t.me/IsaacEssuman,UserStatusRecently(),Clara AmaZix,claralausy,https://t.me/claralausy,UserStatusRecently(),Diogo AmaZix,obsAmaZix,https://t.me/obsAmaZix,UserStatusRecently(),Larry AmaZix,heelaree,https://t.me/heelaree,UserStatusRecently(),DCTO,DGCTO,https://t.me/DGCTO,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,Bifrost SALP: Release crowdloan liquidity for participants,https://t.me/bifrost_finance,Bifrost Official,True,Real Lurpis @ Bifrost,lurpis,https://t.me/lurpis,UserStatusRecently(),Yancy,tiemmmmm,https://t.me/tiemmmmm,UserStatusRecently(),Weel - Ross M (I will not DM you first),Weelecht,https://t.me/Weelecht,UserStatusRecently(),Gilang (I will never DM you),venomousz,https://t.me/venomousz,UserStatusRecently(),Maarten (I will never PM first!),Fiexer,https://t.me/Fiexer,UserStatusRecently(),Alex PromoTeam,AlexPromoTeam,https://t.me/AlexPromoTeam,UserStatusRecently(),Bonnie@Bifrost,irend00,https://t.me/irend00,UserStatusRecently(),Bifrost Network,bifrost_network_bot,https://t.me/bifrost_network_bot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,DragonBite raises over $2.7 million within 48 hours,https://t.me/DragonBite,DragonBite Official,True,James | DragonBite 🐉,DB_James,https://t.me/DB_James,UserStatusRecently(),Chris | DragonBite HK,DragonBiteCMO,https://t.me/DragonBiteCMO,UserStatusRecently(),Wyatt Whitehead | Never PM first,Cryptority,https://t.me/Cryptority,UserStatusRecently(),Alex Cannon,alexcanon,https://t.me/alexcanon,UserStatusRecently(),Lowkey Donki,OkeyDonki,https://t.me/OkeyDonki,UserStatusRecently(),CryptoDonkey,CryptoDDonkey,https://t.me/CryptoDDonkey,UserStatusRecently(),Florence | DragonBite 🏵,FlorenceDragonBite,https://t.me/FlorenceDragonBite,UserStatusRecently(),SubZero Never PM First,SubzeroCM,https://t.me/SubzeroCM,UserStatusRecently(),NooB MK,noobmk,https://t.me/noobmk,UserStatusRecently(),Mickael Costache,mcostache,https://t.me/mcostache,UserStatusRecently(),Andy Chen | DragonBite🐉,andy777chen,https://t.me/andy777chen,UserStatusRecently(),Peter Chan,chanpms,https://t.me/chanpms,UserStatusRecently(),Elvan | DragonBite 🐉,DB_Elvan,https://t.me/DB_Elvan,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoinTelegraph,Smartlink launches decentralized escrow and its own marketplace on Tezos,https://t.me/smartlinkofficial,Smartlink Official,True,François LE GALL,francoislegall,https://t.me/francoislegall,UserStatusRecently(),R.Carre | Will never DM you first,KarreRobin,https://t.me/KarreRobin,UserStatusRecently(),Smartlink T1 (ICO IS CLOSED),SmartlinkT1,https://t.me/SmartlinkT1,UserStatusRecently(),Smartlink | Will never DM you First,smartlinkteam,https://t.me/smartlinkteam,UserStatusRecently(),Prakash Pandey (Never DM You First),prakash11175,https://t.me/prakash11175,UserStatusRecently(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
