,id,channel id,channel name,description,admin name,admin url
10,1609,Asch,XAS,"Asch (XAS) is a cryptocurrency . Asch has a current supply of 114,855,331 with 93,355,331 in circulation. The last known price of Asch is 1.00042083 USD and is up 0.05 over the last 24 hours. It is currently trading on 1 active market(s) with $0.00 traded over the last 24 hours. More information can be found at https://www.asch.io/.",cyberspoof,https://t.me/cyberspoof
11,1637,iExec RLC,RLC,"iExec RLC (RLC) is a cryptocurrency and operates on the Ethereum platform. iExec RLC has a current supply of 86,999,784.9868455 with 80,070,793.23876736 in circulation. The last known price of iExec RLC is 2.88092351 USD and is up 7.58 over the last 24 hours. It is currently trading on 50 active market(s) with $12,573,481.52 traded over the last 24 hours. More information can be found at https://iex.ec/.",cyberspoof,https://t.me/cyberspoof
12,1680,Aragon,ANT,"Aragon (ANT) is a cryptocurrency and operates on the Ethereum platform. Aragon has a current supply of 39,609,523.80952381 with 39,609,522.80952381 in circulation. The last known price of Aragon is 6.17116542 USD and is up 9.60 over the last 24 hours. It is currently trading on 73 active market(s) with $54,187,500.86 traded over the last 24 hours. More information can be found at https://aragon.org/.",cyberspoof,https://t.me/cyberspoof
13,1684,Qtum,QTUM,"Qtum (QTUM) is a cryptocurrency . Qtum has a current supply of 103,944,501 with 98,930,833.7260568 in circulation. The last known price of Qtum is 9.44313297 USD and is up 5.51 over the last 24 hours. It is currently trading on 166 active market(s) with $126,475,946.39 traded over the last 24 hours. More information can be found at https://qtum.org/.",cyberspoof,https://t.me/cyberspoof
14,1697,Basic Attention Token,BAT,"Basic Attention Token (BAT) is a cryptocurrency and operates on the Ethereum platform. Basic Attention Token has a current supply of 1,500,000,000 with 1,493,864,568.4473505 in circulation. The last known price of Basic Attention Token is 1.19132924 USD and is up 11.25 over the last 24 hours. It is currently trading on 246 active market(s) with $280,087,349.36 traded over the last 24 hours. More information can be found at https://basicattentiontoken.org/.",cyberspoof,https://t.me/cyberspoof
15,1732,Numeraire,NMR,"Numeraire (NMR) is a cryptocurrency and operates on the Ethereum platform. Numeraire has a current supply of 10,970,387.82380623 with 5,888,503.64405066 in circulation. The last known price of Numeraire is 32.64460974 USD and is up 3.17 over the last 24 hours. It is currently trading on 54 active market(s) with $15,554,012.67 traded over the last 24 hours. More information can be found at https://numer.ai/.",cyberspoof,https://t.me/cyberspoof
16,1750,GXChain,GXC,"GXChain (GXC) is a cryptocurrency . GXChain has a current supply of 99,828,027.11817 with 75,000,000 in circulation. The last known price of GXChain is 1.87022528 USD and is down -3.19 over the last 24 hours. It is currently trading on 26 active market(s) with $148,419,408.15 traded over the last 24 hours. More information can be found at https://gxs.gxb.io/en/.",cyberspoof,https://t.me/cyberspoof
17,1757,FUNToken,FUN,"FUNToken (FUN) is a cryptocurrency launched in 2017and operates on the Ethereum platform. FUNToken has a current supply of 10,994,873,521.398026. The last known price of FUNToken is 0.01067723 USD and is up 4.56 over the last 24 hours. It is currently trading on 27 active market(s) with $5,168,435.00 traded over the last 24 hours. More information can be found at https://funtoken.io/.",cyberspoof,https://t.me/cyberspoof
18,1768,Ambire AdEx,ADX,"Ambire AdEx (ADX) is a cryptocurrency and operates on the Ethereum platform. Ambire AdEx has a current supply of 145,726,792.64277545 with 137,284,316.30277544 in circulation. The last known price of Ambire AdEx is 0.56108787 USD and is up 1.83 over the last 24 hours. It is currently trading on 21 active market(s) with $5,618,958.05 traded over the last 24 hours. More information can be found at https://www.adex.network/.",cyberspoof,https://t.me/cyberspoof
19,1776,MCO,MCO,"MCO (MCO) is a cryptocurrency and operates on the Ethereum platform. MCO has a current supply of 31,587,682.363206 with 15,793,831.094963 in circulation. The last known price of MCO is 19.19979055 USD and is up 0.10 over the last 24 hours. It is currently trading on 10 active market(s) with $2,920,334.58 traded over the last 24 hours. More information can be found at https://crypto.com/.",cyberspoof,https://t.me/cyberspoof
