name_of_project,title_of_press_release,telegram
CoinTelegraph,Bitcoin trading bot from Insider Protocol by the Mechanics of the Future,https://t.me/insiderprotocol
CoinTelegraph,Verox is building a crypto and Defi AI investment manager,https://t.me/veroxgroup
CoinTelegraph,TNC IT Group’s Aladdin Exchange pre-launch event begins,https://t.me/aladdinexchange
CoinTelegraph,Holdefi sets a new cornerstone in DeFi lending market,https://t.me/holdefi
CoinTelegraph,How LPNT is going to rule the cryptocurrency market,https://t.me/LPNT_Official
CoinTelegraph,AnRKey X™ lists native token $ANRX on Bithumb Global and Uniswap,https://t.me/anrkeyxofficial
CoinTelegraph,AnRKey X™ lists native token $ANRX on Bithumb Global and Uniswap,https://t.me/anrkeyxnews
CoinTelegraph,Virtual stocking stuffers from new DeFi project Bubble Network,https://t.me/BubbleNetworkChat
CoinTelegraph,Virtual stocking stuffers from new DeFi project Bubble Network,https://t.me/BubbleNetwork
CoinTelegraph,Ethereum Yield (ETHY) ready to launch in DeFi zone,https://t.me/ethereumyield
CoinTelegraph,BlockDown is coming to Latin America this November,https://t.me/blockdown_esp
CoinTelegraph,Walletreum is live - Road to financial freedom with DeFi & AI,https://t.me/walletreum
CoinTelegraph,Walletreum is live - Road to financial freedom with DeFi & AI,https://t.me/WalletreumANN
CoinTelegraph,CyberVein launches first-of-a-kind decentralized NFT issuance platform,https://t.me/CyberVeinCommunity
CoinTelegraph,Tadpole Finance: A more open DeFi lending platform just launched,https://t.me/TadpoleFinanceChannel
CoinTelegraph,Multiplier Is Incentivising Yield Farmers with MXX Tokens From July 29,https://t.me/themultiplierio
CoinTelegraph,BlockConf Digital Is Knocking on Your Door on 24th 9PM EST,https://t.me/blockconfDigital​
CoinTelegraph,BlockConf DIGITAL Disrupts Lockdown With a 48-hours Online Conference,https://t.me/blockconfDigital
CoinTelegraph,BlockConf DIGITAL Disrupts Lockdown With a 48-hours Online Conference,https://t.me/mbeaudroit
CoinTelegraph,Changelly Extended Its Crypto Portfolio With AEternity Mainnet Token,https://t.me/join_changelly
CoinTelegraph,Ravencoin Joins the Ranks of 150+ Exchangeable Cryptos on Changelly.com,https://t.me/RavencoinDev
CoinTelegraph,Ravencoin Joins the Ranks of 150+ Exchangeable Cryptos on Changelly.com,https://t.me/join_changelly
CoinTelegraph,"Jolting the Insurance Industry, One Better Driver at a Time",https://t.me/joltee
CoinTelegraph,"Jolting the Insurance Industry, One Better Driver at a Time",https://t.me/joltee_chat
CoinTelegraph,The Birth of the New Token ARCS,https://t.me/ARCS_ARX_EN
CoinTelegraph,Buying.com Approved to Trade on OpenFinance; Launches Mobile App,https://t.me/buyingcom
CoinTelegraph,"CoinDeal Available in 13 US States, Including Its Own CDL Token Market",https://t.me/coindeal_com
CoinTelegraph,Four Valuable Reasons to Attend CGC,https://t.me/cgc_one
CoinTelegraph,ZVC Official MainNet Launch - New DeFi Economy Is Here,https://t.me/ZVChain_Official
CoinTelegraph,CoinMarketCap Announces Its First-ever Large Scale Conference,https://t.me/CoinMarketCap
CoinTelegraph,CoinMarketCap Announces Its First-ever Large Scale Conference,https://t.me/CoinMarketCapBot
CoinTelegraph,Changelly and Infinito Launching Promo to Mark Complete API Integration,https://t.me/infinitowallet
CoinTelegraph,Changelly and Infinito Launching Promo to Mark Complete API Integration,https://t.me/infinito_announcements
CoinTelegraph,Changelly and Infinito Launching Promo to Mark Complete API Integration,https://t.me/join_changelly
CoinTelegraph,"Nick Szabo to Vitalik Buterin, gather at Korea Blockchain Week",https://t.me/koreablockchainweek2019
CoinTelegraph,The First English Crypto Mining Event in China,https://t.me/MinerUpdate
CoinTelegraph,"BlockShow Announce Exclusive Partnership With CEO of ABS, Andrew Fai",https://t.me/Blockshow
CoinTelegraph,Margin.cryptorg.net Is a Platform for Automated Trading on BitMEX Exchange,https://t.me/cryptorg_bitmex
CoinTelegraph,BitMax.io (BTMX.com) Announces Listing of HPB,https://t.me/hpbglobal
CoinTelegraph,BitMax.io (BTMX.com) Announces Listing of HPB,https://t.me/BitMaxioEnglishOfficial
CoinTelegraph,CGC Kyiv 2019 - Largest Blockchain Gaming Conference Announced,https://t.me/cgc_one
CoinTelegraph,Infinito and Changelly Present The Ultimate Instant Exchange Solution,https://t.me/infinitowallet
CoinTelegraph,Infinito and Changelly Present The Ultimate Instant Exchange Solution,https://t.me/infinito_announcements
CoinTelegraph,Infinito and Changelly Present The Ultimate Instant Exchange Solution,https://t.me/join_changelly
CoinTelegraph,BitCloud: Gearing Up for the Next Bull,https://t.me/bitcloudpro
CoinTelegraph,"ABBC Reveals New CTO, Forms Partnership with UbiFun for Aladdin25 Development",https://t.me/abbcfoundation
CoinTelegraph,"The 2nd Graphene Blockchain DevCon Will Be Held in Shanghai, July 6th-7th",https://t.me/GrapheneDevCon
CoinTelegraph,ADN Coin - An Investor-Friendly Cryptocurrency,https://t.me/adncoinofficial
CoinTelegraph,Low-Key Loud Move：WaykiChain TPS 3200 Things to Know About WaykiChain Public Chain Breakthroughs,https://t.me/wiccofficial
CoinTelegraph,Low-Key Loud Move：WaykiChain TPS 3200 Things to Know About WaykiChain Public Chain Breakthroughs,https://t.me/waykichain
CoinTelegraph,BitMax.io and Block72 Co-Hosted Global Digital Impact Night During New York Blockchain Week 2019,https://t.me/BitMaxioEnglishOfficial
CoinTelegraph,Two Weeks to Go: Malta AI & Blockchain Summit Launching Exclusive Pool Party,https://t.me/maltablockchainsummit
CoinTelegraph,"Liquid.com Unveils Liquid Pro, a Mobile App For Pro Crypto Traders",https://t.me/Quoine
CoinTelegraph,Xeonbit Announces Application to List Asset Xeonbit Token (XNS) And Submit Proposal Listing on Binance DEX,https://t.me/xeonbitgroup
CoinTelegraph,Industry Leader Infinito to Issue Infinito Points with Community-chosen Benefits,https://t.me/infinitowallet
CoinTelegraph,BitMax.io Selected EtherZero (ETZ) as Its New Strategic Partner,https://t.me/BitMaxioEnglishOfficial
CoinTelegraph,Telos: The On-ramp to Third-generation Blockchain,https://t.me/hellotelos
CoinTelegraph,UCIM Pitcher Perfect to Welcome Top Investors and Projects in Singapore,https://t.me/UCIMIO
CoinTelegraph,Singapore Hosts the Worldwide Crypto Forum - Blockchain Life 2019,https://t.me/blockchainlife
CoinTelegraph,"Paris Blockchain Week Summit, the First International Conference Held in France Dedicated to the Professionals of Blockchain and Crypto-Assets",https://t.me/pbwsummit
CoinTelegraph,"Paris Blockchain Week Summit, the First International Conference Held in France Dedicated to the Professionals of Blockchain and Crypto-Assets",https://t.me/parisblockchainweek
CoinTelegraph,EOS WiKi and CodeLite Team Jointly Announce CodeLite for EOS Project to Help Developers to Create Smart Contracts Easier,https://t.me/
CoinTelegraph,Rate3 Bridges Enterprises with Blockchain’s Benefits Through Asset Tokenization,https://t.me/OfficialRate3
CoinTelegraph,Malta Enterprise to Support Malta Blockchain Summit Offering 40 Free Booths to Innovative Startups,https://t.me/maltablockchainsummit
CoinTelegraph,BitMax.io: Leveraging Innovative Mining Models and User-Friendly Services to Revolutionize Crypto Adoption,https://t.me/BitMaxioEnglishOfficial
CoinTelegraph,BitMax.io: Leveraging Innovative Mining Models and User-Friendly Services to Revolutionize Crypto Adoption,https://t.me/BitMaxOfficialAnnouncement
CoinTelegraph,"Official Launch of Liquid, a New Crypto Platform Opening Up Liquidity for Crypto Markets Worldwide",https://t.me/Quoine
